"ID_Client","FirstName","LastName","Age","Gender"
"77","Benjamin","Kennedy","38","Female"
"78","Andrew","Reagan","57","Male"
"79","Zachary","Johnson","35","Female"
"80","Abraham","Reagan","47","Male"
"81","Grover","Ford","47","Male"
"82","Thomas","Buchanan","26","Male"
"83","William","Pierce","58","Male"
"84","Ulysses","Jackson","67","Male"
"85","Warren","Carter","66","Female"
"86","Ronald","Carter","71","Female"
"87","Dwight","Jefferson","20","Female"
"88","Harry","Arthur","56","Female"
"89","Millard","Jackson","45","Female"
"90","Grover","McKinley","41","Female"
"91","Thomas","Johnson","78","Female"
"92","Andrew","Adams","51","Female"
"93","Dwight","Hoover","75","Male"
"94","James","Truman","55","Male"
"95","Warren","Pierce","46","Male"
"96","Ronald","Reagan","67","Female"
"97","Chester","Adams","45","Male"
"98","James","Jefferson","72","Male"
"99","Jimmy","Arthur","78","Female"
"100","Zachary","Clinton","30","Male"
"101","James","Taft","43","Female"
"102","Ronald","Washington","74","Male"
"103","George","Fillmore","85","Female"
"104","Abraham","Hoover","82","Female"
"105","James","Ford","84","Male"
"106","Thomas","Arthur","56","Female"
"107","Benjamin","Taft","63","Female"
"108","Martin","Truman","62","Female"
"109","Martin","Hayes","27","Female"
"110","Abraham","Monroe","59","Male"
"111","Bill","Hayes","74","Male"
"112","John","Van Buren","73","Male"
"113","Martin","Taft","81","Male"
"114","Lyndon","Monroe","80","Male"
"115","Harry","Clinton","68","Male"
"116","John","Truman","32","Female"
"117","Benjamin","Lincoln","32","Male"
"118","Thomas","Grant","27","Male"
"119","Woodrow","Quincy","34","Female"
"120","Rutherford","Kennedy","33","Female"
"121","Jimmy","Polk","75","Male"
"122","Thomas","Jackson","53","Male"
"123","Dwight","Clinton","49","Female"
"124","Jimmy","Wilson","18","Female"
"125","Chester","Johnson","48","Female"
"126","Calvin","Harrison","33","Male"
"127","Benjamin","Coolidge","21","Male"
"128","Bill","Polk","34","Female"
"129","Ronald","Jefferson","36","Male"
"130","Richard","Taft","53","Female"
"131","Warren","Arthur","60","Male"
"132","Jimmy","Tyler","32","Female"
"133","Woodrow","Van Buren","36","Male"
"134","Ronald","Adams","46","Female"
"135","Benjamin","Madison","62","Female"
"136","Gerald","Taylor","23","Male"
"137","Bill","Truman","48","Male"
"138","William","Grant","71","Female"
"139","Ulysses","Fillmore","59","Female"
"140","Harry","Van Buren","18","Male"
"141","Herbert","Pierce","31","Male"
"142","Ronald","Johnson","47","Male"
"143","Martin","Cleveland","78","Female"
"144","Franklin","Jefferson","70","Male"
"145","Gerald","Buchanan","31","Female"
"146","Theodore","Roosevelt","62","Female"
"147","Theodore","Hayes","69","Female"
"148","Gerald","Eisenhower","78","Male"
"149","George","Quincy","77","Male"
"150","Ronald","Monroe","73","Female"
"151","Grover","Polk","35","Male"
"152","George","Coolidge","64","Male"
"153","Martin","Grant","85","Male"
"154","Bill","Adams","76","Female"
"155","Franklin","Harrison","70","Female"
"156","Lyndon","Hoover","73","Male"
"157","Bill","Pierce","21","Male"
"158","Warren","Kennedy","33","Female"
"159","Theodore","Reagan","73","Male"
"160","Andrew","Clinton","72","Female"
"161","Lyndon","Eisenhower","20","Female"
"162","Grover","Madison","49","Male"
"163","Benjamin","Washington","43","Female"
"164","Gerald","Ford","52","Male"
"165","Lyndon","Garfield","47","Male"
"166","Woodrow","Arthur","29","Female"
"167","John","Quincy","27","Male"
"168","Thomas","Fillmore","46","Male"
"169","Grover","Nixon","61","Male"
"170","Millard","Kennedy","68","Male"
"171","Grover","Taylor","75","Female"
"172","Ronald","Taft","22","Female"
"173","Andrew","Monroe","28","Male"
"174","Herbert","Roosevelt","38","Female"
"175","James","Nixon","81","Male"
"176","Grover","Arthur","67","Male"
"177","Zachary","Ford","72","Male"
"178","Abraham","Clinton","58","Female"
"179","Grover","Coolidge","56","Female"
"180","Woodrow","Tyler","80","Female"
"181","Chester","Buchanan","30","Female"
"182","Rutherford","Jackson","59","Female"
"183","Zachary","Pierce","18","Male"
"184","Richard","Hayes","48","Male"
"185","John","Cleveland","20","Male"
"186","John","Buchanan","52","Female"
"187","Dwight","Johnson","47","Female"
"188","Gerald","Van Buren","45","Female"
"189","Theodore","Fillmore","29","Female"
"190","Theodore","Truman","85","Male"
"191","Herbert","Wilson","41","Male"
"192","Andrew","Roosevelt","30","Female"
"193","Benjamin","Pierce","75","Female"
"194","Andrew","Ford","66","Male"
"195","George","Harrison","50","Female"
"196","Martin","Tyler","25","Female"
"197","Thomas","Taft","81","Male"
"198","Richard","Harding","52","Female"
"199","Ulysses","Pierce","68","Male"
"200","Theodore","Arthur","76","Female"
"201","Harry","Hoover","37","Female"
"202","Woodrow","Reagan","63","Male"
"203","Ulysses","Kennedy","48","Male"
"204","Chester","Pierce","40","Male"
"205","Ulysses","Carter","30","Male"
"206","Jimmy","Madison","62","Male"
"207","Gerald","Polk","55","Female"
"208","George","Monroe","62","Female"
"209","Herbert","Johnson","33","Female"
"210","Dwight","Taft","41","Female"
"211","Theodore","Tyler","69","Female"
"212","Herbert","Taft","51","Female"
"213","Franklin","Hayes","85","Female"
"214","Thomas","McKinley","85","Male"
"215","James","Buchanan","65","Female"
"216","Dwight","Carter","78","Male"
"217","Martin","Carter","75","Male"
"218","Franklin","Tyler","28","Male"
"219","Woodrow","Washington","42","Male"
"220","Bill","Cleveland","32","Male"
"221","William","Garfield","64","Male"
"222","Theodore","Johnson","36","Female"
"223","Jimmy","Grant","75","Male"
"224","Harry","Quincy","25","Male"
"225","Benjamin","Grant","52","Male"
"226","Chester","Arthur","76","Female"
"227","Richard","Harrison","25","Female"
"228","George","Jefferson","29","Female"
"229","Ronald","Hoover","25","Male"
"230","Calvin","Quincy","38","Female"
"231","Calvin","McKinley","46","Female"
"232","Calvin","Nixon","75","Male"
"233","Dwight","Harrison","34","Female"
"234","Zachary","Monroe","53","Male"
"235","Ulysses","Lincoln","28","Male"
"236","George","Reagan","53","Female"
"237","Rutherford","Harding","75","Male"
"238","Jimmy","Ford","29","Male"
"239","Harry","Jackson","66","Female"
"240","Harry","Grant","78","Male"
"241","Lyndon","McKinley","61","Male"
"242","Calvin","Fillmore","78","Male"
"243","Abraham","Coolidge","45","Female"
"244","Richard","Kennedy","55","Female"
"245","Jimmy","Hoover","64","Female"
"246","Andrew","Hoover","36","Female"
"247","George","Buchanan","48","Male"
"248","Jimmy","Eisenhower","75","Male"
"249","Gerald","Tyler","68","Male"
"250","Franklin","Fillmore","55","Female"
"251","Andrew","Coolidge","48","Female"
"252","Franklin","McKinley","19","Male"
"253","Gerald","Taft","30","Male"
"254","Woodrow","Harding","83","Female"
"255","Abraham","Wilson","19","Male"
"256","Dwight","Buchanan","29","Male"
"257","Grover","Jackson","45","Female"
"258","Theodore","McKinley","54","Female"
"259","Martin","Wilson","69","Male"
"260","Lyndon","Quincy","38","Male"
"261","Martin","Taylor","61","Female"
"262","Richard","Monroe","75","Male"
"263","Abraham","Taylor","63","Male"
"264","James","Garfield","44","Female"
"265","Abraham","McKinley","39","Female"
"266","Millard","Monroe","19","Male"
"267","Ulysses","Jefferson","29","Male"
"268","Bill","Harding","18","Female"
"269","Martin","Adams","38","Female"
"270","Calvin","Pierce","29","Female"
"271","Benjamin","Wilson","29","Female"
"272","John","Tyler","26","Male"
"273","Thomas","Eisenhower","53","Female"
"274","Grover","Hayes","67","Male"
"275","Chester","Monroe","37","Male"
"276","John","Fillmore","35","Female"
"277","Grover","Fillmore","19","Female"
"278","Ronald","Truman","54","Male"
"279","James","Quincy","22","Male"
"280","Benjamin","Eisenhower","43","Male"
"281","Martin","Jackson","74","Male"
"282","Dwight","Grant","21","Male"
"283","James","Fillmore","85","Female"
"284","Theodore","Van Buren","29","Female"
"285","Martin","Garfield","43","Female"
"286","Bill","Hoover","21","Female"
"287","Warren","Clinton","19","Female"
"288","Andrew","Jefferson","57","Female"
"289","William","Carter","49","Female"
"290","Herbert","Harding","48","Male"
"291","James","Roosevelt","21","Female"
"292","Franklin","Grant","67","Female"
"293","Woodrow","Taylor","58","Male"
"294","Rutherford","Roosevelt","30","Male"
"295","James","Coolidge","67","Male"
"296","Millard","Pierce","66","Male"
"297","Bill","McKinley","23","Female"
"298","Richard","Wilson","54","Female"
"299","Thomas","Taylor","73","Female"
"300","Rutherford","Taft","32","Male"
"301","Dwight","Ford","81","Male"
"302","Woodrow","Jackson","68","Female"
"303","Franklin","Coolidge","77","Male"
"304","Franklin","Jackson","37","Male"
"305","Zachary","Tyler","83","Male"
"306","Calvin","Clinton","37","Female"
"307","Theodore","Adams","23","Male"
"308","Chester","Harrison","26","Female"
"309","Franklin","Harding","49","Male"
"310","Harry","Adams","72","Female"
"311","Warren","Roosevelt","41","Female"
"312","Jimmy","Jackson","35","Female"
"313","Richard","Johnson","43","Male"
"314","Bill","Kennedy","69","Female"
"315","Andrew","Taft","59","Male"
"316","Abraham","Carter","82","Male"
"317","Bill","Madison","72","Male"
"318","George","McKinley","50","Female"
"319","George","Washington","73","Male"
"320","Thomas","Harding","54","Male"
"321","Millard","Van Buren","35","Female"
"322","Calvin","Hayes","18","Female"
"323","Harry","Cleveland","34","Female"
"324","Calvin","Jackson","37","Male"
"325","Rutherford","Johnson","54","Male"
"326","Warren","Eisenhower","48","Female"
"327","Gerald","Grant","79","Male"
"328","Martin","Van Buren","71","Female"
"329","Benjamin","Buchanan","28","Female"
"330","Ulysses","Monroe","80","Female"
"331","Bill","Buchanan","75","Female"
"332","Martin","Fillmore","55","Male"
"333","Rutherford","Grant","19","Male"
"334","Warren","Adams","78","Female"
"335","Benjamin","Adams","65","Female"
"336","George","Eisenhower","26","Male"
"337","Dwight","Adams","73","Male"
"338","Theodore","Wilson","61","Male"
"339","James","Kennedy","37","Female"
"340","Franklin","Johnson","48","Female"
"341","Lyndon","Adams","31","Male"
"342","Grover","Johnson","50","Male"
"343","John","Hoover","56","Male"
"344","Andrew","Buchanan","66","Female"
"345","Zachary","Adams","43","Male"
"346","Lyndon","Hayes","18","Female"
"347","William","Fillmore","36","Male"
"348","Andrew","Madison","29","Male"
"349","Richard","Madison","21","Male"
"350","John","Roosevelt","69","Female"
"351","Harry","Jefferson","62","Female"
"352","Ulysses","Madison","67","Male"
"353","Richard","Reagan","41","Female"
"354","Woodrow","Coolidge","59","Female"
"355","Warren","Taft","21","Female"
"356","Grover","Eisenhower","26","Female"
"357","Warren","McKinley","76","Male"
"358","Thomas","Washington","48","Female"
"359","Zachary","Jackson","26","Male"
"360","Theodore","Taft","27","Male"
"361","Zachary","Taft","68","Male"
"362","Chester","Washington","76","Male"
"363","Jimmy","Monroe","23","Female"
"364","Herbert","Polk","61","Female"
"365","Rutherford","Reagan","51","Female"
"366","Warren","Wilson","21","Female"
"367","Calvin","Johnson","36","Female"
"368","Ulysses","Ford","72","Female"
"369","William","Washington","47","Female"
"370","Martin","Nixon","64","Male"
"371","Woodrow","Adams","62","Female"
"372","Martin","Coolidge","78","Female"
"373","Rutherford","Harrison","73","Female"
"374","Chester","Truman","22","Female"
"375","James","Clinton","43","Male"
"376","Andrew","Nixon","37","Female"
"377","Zachary","Roosevelt","72","Female"
"378","Millard","Harding","73","Female"
"379","William","Reagan","28","Female"
"380","Franklin","Cleveland","41","Female"
"381","Franklin","Madison","81","Male"
"382","Abraham","Taft","29","Male"
"383","Dwight","Harding","34","Male"
"384","George","Kennedy","18","Male"
"385","Calvin","Madison","46","Female"
"386","William","Tyler","37","Male"
"387","Lyndon","Clinton","50","Male"
"388","Rutherford","Cleveland","24","Male"
"389","Franklin","Eisenhower","79","Male"
"390","Martin","Ford","25","Male"
"391","John","Jefferson","67","Male"
"392","Herbert","Tyler","73","Female"
"393","Harry","Garfield","68","Female"
"394","Herbert","Hayes","54","Male"
"395","Ronald","Arthur","58","Female"
"396","Bill","Coolidge","36","Male"
"397","Dwight","Wilson","56","Female"
"398","Warren","Fillmore","22","Male"
"399","Ulysses","Harrison","26","Male"
"400","Gerald","Johnson","80","Male"
"401","Ulysses","Taylor","21","Male"
"402","Ronald","Buchanan","81","Female"
"403","John","Hayes","52","Male"
"404","Ronald","Nixon","26","Female"
"405","Rutherford","Monroe","21","Male"
"406","William","Taft","29","Female"
"407","Thomas","Roosevelt","49","Female"
"408","Dwight","Hayes","48","Female"
"409","Ulysses","Nixon","73","Male"
"410","Dwight","Tyler","63","Female"
"411","Franklin","Arthur","66","Female"
"412","George","Truman","64","Male"
"413","Harry","Pierce","48","Male"
"414","Rutherford","McKinley","80","Male"
"415","Dwight","Pierce","27","Male"
"416","Thomas","Adams","37","Male"
"417","Woodrow","Roosevelt","64","Male"
"418","Gerald","Pierce","29","Male"
"419","William","Nixon","74","Female"
"420","Ronald","Wilson","82","Female"
"421","Theodore","Buchanan","25","Male"
"422","Rutherford","Adams","32","Female"
"423","William","Buchanan","80","Male"
"424","Rutherford","Hayes","34","Male"
"425","John","Lincoln","58","Female"
"426","Herbert","Coolidge","52","Male"
"427","Rutherford","Washington","58","Female"
"428","Lyndon","Buchanan","46","Male"
"429","Woodrow","Harrison","58","Male"
"430","Franklin","Quincy","20","Female"
"431","Thomas","Truman","66","Male"
"432","Chester","Carter","20","Male"
"433","Woodrow","Kennedy","55","Female"
"434","Martin","Harrison","66","Female"
"435","Richard","Van Buren","58","Female"
"436","Chester","Tyler","80","Male"
"437","Gerald","Harding","71","Female"
"438","John","Adams","20","Male"
"439","Warren","Washington","53","Female"
"440","Woodrow","Truman","44","Female"
"441","Gerald","Madison","40","Male"
"442","Franklin","Nixon","36","Female"
"443","Franklin","Reagan","76","Female"
"444","Calvin","Monroe","64","Male"
"445","Harry","Wilson","73","Male"
"446","Harry","Hayes","23","Female"
"447","Millard","Hayes","41","Male"
"448","Ulysses","Buchanan","73","Male"
"449","Chester","Wilson","33","Female"
"450","Harry","Johnson","51","Male"
"451","Ronald","Garfield","19","Female"
"452","Lyndon","Polk","45","Female"
"453","Richard","Jefferson","42","Male"
"454","Franklin","Adams","54","Male"
"455","Herbert","Harrison","67","Female"
"456","Ulysses","Roosevelt","78","Female"
"457","Herbert","Reagan","55","Male"
"458","Jimmy","Reagan","48","Female"
"459","Grover","Van Buren","46","Female"
"460","Zachary","Madison","76","Female"
"461","Benjamin","Reagan","76","Female"
"462","Andrew","Washington","20","Male"
"463","Theodore","Grant","63","Male"
"464","Andrew","Eisenhower","41","Male"
"465","John","Nixon","50","Female"
"466","Thomas","Pierce","70","Female"
"467","Lyndon","Harrison","35","Male"
"468","Jimmy","Coolidge","45","Female"
"469","Theodore","Cleveland","29","Female"
"470","Benjamin","Roosevelt","28","Male"
"471","William","Taylor","60","Male"
"472","Warren","Grant","21","Male"
"473","Benjamin","Harding","62","Male"
"474","William","Cleveland","72","Male"
"475","Millard","Harrison","25","Female"
"476","James","Lincoln","46","Male"
"477","Millard","Adams","24","Male"
"478","Theodore","Harrison","75","Female"
"479","Martin","McKinley","31","Female"
"480","Richard","Taylor","30","Female"
"481","Zachary","Eisenhower","26","Male"
"482","Gerald","Fillmore","42","Female"
"483","Grover","Buchanan","44","Male"
"484","Millard","Nixon","68","Male"
"485","Lyndon","Carter","74","Male"
"486","Zachary","Nixon","58","Male"
"487","James","Madison","26","Female"
"488","Millard","Lincoln","56","Female"
"489","Martin","Jefferson","30","Male"
"490","Ronald","Lincoln","35","Male"
"491","Herbert","Adams","70","Male"
"492","Dwight","Kennedy","37","Male"
"493","Andrew","Harrison","19","Male"
"494","Abraham","Eisenhower","49","Male"
"495","James","Adams","54","Male"
"496","Calvin","Harding","85","Male"
"497","Zachary","Harrison","52","Male"
"498","William","Lincoln","67","Male"
"499","Benjamin","Polk","38","Female"
"500","Theodore","Taylor","80","Female"
"501","Richard","Truman","56","Male"
"502","Millard","Jefferson","38","Male"
"503","James","Johnson","58","Male"
"504","John","Taylor","37","Female"
"505","Herbert","McKinley","23","Male"
"506","Benjamin","Johnson","38","Male"
"507","Rutherford","Nixon","81","Male"
"508","Woodrow","McKinley","64","Female"
"509","Abraham","Buchanan","73","Male"
"510","Andrew","Polk","33","Female"
"511","Calvin","Taylor","75","Male"
"512","Thomas","Van Buren","62","Male"
"513","Thomas","Nixon","57","Female"
"514","Chester","Van Buren","59","Female"
"515","Rutherford","Eisenhower","78","Male"
"516","James","Carter","73","Male"
"517","Theodore","Washington","72","Female"
"518","Ulysses","Grant","84","Male"
"519","Woodrow","Johnson","47","Female"
"520","Benjamin","Quincy","74","Female"
"521","Jimmy","Roosevelt","42","Female"
"522","Woodrow","Madison","82","Male"
"523","Calvin","Kennedy","79","Female"
"524","Gerald","Hoover","66","Male"
"525","John","Madison","76","Female"
"526","Gerald","Washington","66","Female"
"527","Warren","Jackson","48","Male"
"528","Rutherford","Garfield","47","Female"
"529","Grover","Tyler","26","Male"
"530","Ulysses","Van Buren","46","Female"
"531","Warren","Truman","36","Female"
"532","Calvin","Adams","78","Female"
"533","John","Carter","79","Male"
"534","Chester","Roosevelt","25","Male"
"535","Ulysses","Washington","57","Male"
"536","William","Arthur","55","Female"
"537","Woodrow","Clinton","20","Female"
"538","Chester","Taylor","41","Male"
"539","Gerald","Garfield","50","Female"
"540","Richard","Garfield","67","Female"
"541","Lyndon","Pierce","31","Female"
"542","Millard","Coolidge","66","Female"
"543","Jimmy","Nixon","77","Female"
"544","Lyndon","Jackson","83","Female"
"545","Theodore","Harding","81","Female"
"546","Rutherford","Clinton","33","Female"
"547","Lyndon","Ford","73","Male"
"548","Calvin","Arthur","38","Male"
"549","Theodore","Hoover","69","Male"
"550","Martin","Madison","44","Female"
"551","Benjamin","Carter","74","Female"
"552","Calvin","Truman","77","Female"
"553","Benjamin","Jackson","44","Female"
"554","James","Van Buren","54","Female"
"555","Andrew","Pierce","78","Male"
"556","Benjamin","Harrison","81","Male"
"557","Chester","Hayes","29","Female"
"558","Ronald","Polk","76","Male"
"559","Rutherford","Carter","37","Female"
"560","Chester","Nixon","30","Female"
"561","Bill","Eisenhower","37","Female"
"562","Jimmy","McKinley","67","Female"
"563","George","Van Buren","28","Male"
"564","James","Hoover","31","Male"
"565","John","Taft","57","Female"
"566","Rutherford","Pierce","21","Male"
"567","Calvin","Buchanan","78","Male"
"568","Gerald","McKinley","58","Male"
"569","Zachary","Polk","81","Male"
"570","Martin","Clinton","48","Male"
"571","John","Harrison","19","Male"
"572","George","Garfield","20","Female"
"573","Ulysses","Arthur","20","Female"
"574","Warren","Van Buren","30","Male"
"575","Millard","Taft","65","Female"
"576","Richard","Polk","75","Male"
"577","William","Roosevelt","62","Male"
"578","Rutherford","Van Buren","31","Male"
"579","Andrew","Van Buren","34","Male"
"580","Richard","Carter","71","Female"
"581","James","Cleveland","76","Female"
"582","Andrew","Harding","51","Female"
"583","Millard","McKinley","32","Male"
"584","Abraham","Truman","64","Male"
"585","Martin","Johnson","44","Male"
"586","Franklin","Carter","70","Male"
"587","Ronald","Pierce","80","Female"
"588","Abraham","Grant","84","Male"
"589","Benjamin","Tyler","35","Male"
"590","John","Washington","33","Male"
"591","Jimmy","Harrison","54","Female"
"592","Theodore","Garfield","27","Male"
"593","Richard","Tyler","55","Female"
"594","Andrew","McKinley","46","Male"
"595","Gerald","Carter","67","Male"
"596","Rutherford","Fillmore","58","Male"
"597","Bill","Arthur","40","Male"
"598","Franklin","Roosevelt","44","Female"
"599","Chester","Garfield","64","Female"
"600","Ronald","Roosevelt","30","Female"
"601","Grover","Pierce","26","Male"
"602","Zachary","Wilson","18","Female"
"603","Calvin","Ford","74","Female"
"604","William","Adams","66","Female"
"605","George","Madison","73","Male"
"606","Jimmy","Quincy","55","Female"
"607","Harry","Buchanan","46","Male"
"608","Martin","Polk","82","Male"
"609","Dwight","Van Buren","45","Female"
"610","Gerald","Reagan","30","Female"
"611","Zachary","Taylor","66","Female"
"612","William","Van Buren","69","Female"
"613","Chester","Hoover","21","Male"
"614","Jimmy","Pierce","67","Male"
"615","Thomas","Garfield","27","Male"
"616","Andrew","Jackson","45","Male"
"617","Thomas","Hayes","32","Male"
"618","Richard","Jackson","26","Male"
"619","Warren","Harrison","70","Female"
"620","Millard","Wilson","48","Female"
"621","Grover","Roosevelt","28","Female"
"622","Richard","McKinley","46","Female"
"623","Herbert","Jackson","31","Male"
"624","Dwight","Lincoln","71","Male"
"625","Lyndon","Johnson","65","Male"
"626","Jimmy","Lincoln","72","Female"
"627","Jimmy","Van Buren","81","Male"
"628","Harry","Ford","30","Male"
"629","Ulysses","Harding","50","Male"
"630","Lyndon","Harding","68","Female"
"631","Millard","Johnson","58","Female"
"632","Bill","Van Buren","20","Female"
"633","Dwight","Garfield","75","Female"
"634","Ulysses","Adams","61","Male"
"635","Richard","Quincy","41","Male"
"636","Theodore","Ford","49","Female"
"637","Calvin","Eisenhower","58","Female"
"638","Herbert","Nixon","70","Female"
"639","Chester","Jefferson","74","Male"
"640","Chester","Ford","22","Male"
"641","William","Jefferson","82","Male"
"642","Franklin","Garfield","27","Female"
"643","Ulysses","Coolidge","28","Male"
"644","Herbert","Madison","63","Male"
"645","Dwight","Fillmore","77","Female"
"646","Herbert","Arthur","66","Male"
"647","George","Lincoln","54","Female"
"648","John","Reagan","40","Female"
"649","John","Ford","41","Female"
"650","Franklin","Buchanan","69","Male"
"651","George","Hayes","38","Female"
"652","Harry","Monroe","40","Female"
"653","Calvin","Garfield","59","Female"
"654","Herbert","Ford","35","Female"
"655","Grover","Garfield","18","Male"
"656","Gerald","Harrison","44","Male"
"657","Andrew","Cleveland","67","Female"
"658","Benjamin","Clinton","26","Male"
"659","Theodore","Jefferson","51","Female"
"660","Calvin","Hoover","37","Male"
"661","Warren","Buchanan","23","Male"
"662","Theodore","Coolidge","73","Female"
"663","Ulysses","Taft","25","Female"
"664","George","Arthur","25","Female"
"665","Millard","Hoover","77","Male"
"666","Franklin","Wilson","20","Male"
"667","Jimmy","Garfield","34","Male"
"668","John","Garfield","82","Male"
"669","George","Nixon","30","Male"
"670","Harry","Taft","67","Female"
"671","Zachary","Coolidge","47","Female"
"672","John","Clinton","29","Female"
"673","Richard","Lincoln","61","Female"
"674","Woodrow","Wilson","75","Male"
"675","James","Harrison","67","Female"
"676","Andrew","Fillmore","39","Female"
"677","Grover","Reagan","30","Male"
"678","Andrew","Wilson","39","Female"
"679","Herbert","Van Buren","78","Male"
"680","Thomas","Wilson","66","Male"
"681","George","Grant","25","Female"
"682","Ulysses","Quincy","63","Female"
"683","Dwight","Polk","26","Male"
"684","Herbert","Lincoln","18","Male"
"685","Gerald","Monroe","79","Male"
"686","Thomas","Ford","68","Female"
"687","Bill","Reagan","40","Male"
"688","Chester","Grant","78","Female"
"689","Herbert","Eisenhower","53","Male"
"690","Warren","Quincy","31","Male"
"691","Herbert","Hoover","64","Female"
"692","George","Tyler","40","Male"
"693","Abraham","Fillmore","70","Male"
"694","Lyndon","Kennedy","72","Female"
"695","Lyndon","Nixon","19","Male"
"696","Lyndon","Taft","30","Male"
"697","Martin","Pierce","70","Female"
"698","Chester","Kennedy","39","Male"
"699","Dwight","Taylor","54","Female"
"700","Jimmy","Fillmore","42","Female"
"701","Andrew","Arthur","52","Female"
"702","Richard","Arthur","60","Male"
"703","Millard","Truman","85","Female"
"704","Herbert","Fillmore","80","Female"
"705","Rutherford","Madison","38","Female"
"706","Chester","Harding","35","Female"
"707","Martin","Harding","28","Male"
"708","Andrew","Lincoln","18","Female"
"709","Gerald","Coolidge","64","Male"
"710","Warren","Nixon","57","Male"
"711","Chester","Eisenhower","27","Female"
"712","Harry","McKinley","26","Female"
"713","William","Harrison","82","Female"
"714","Rutherford","Hoover","63","Female"
"715","James","Taylor","82","Male"
"716","Bill","Jefferson","82","Male"
"717","Ronald","Ford","33","Male"
"718","Theodore","Monroe","77","Male"
"719","Chester","Reagan","61","Male"
"720","Jimmy","Jefferson","20","Male"
"721","Chester","Cleveland","58","Female"
"722","Millard","Buchanan","36","Female"
"723","Rutherford","Buchanan","77","Female"
"724","Grover","Cleveland","62","Male"
"725","Abraham","Harding","48","Male"
"726","Abraham","Nixon","68","Female"
"727","Millard","Grant","53","Female"
"728","Benjamin","Cleveland","24","Female"
"729","Chester","Jackson","28","Female"
"730","Zachary","Lincoln","41","Male"
"731","Thomas","Madison","63","Male"
"732","Calvin","Taft","31","Male"
"733","Richard","Coolidge","45","Male"
"734","James","Reagan","20","Female"
"735","Andrew","Truman","69","Male"
"736","Richard","Cleveland","54","Female"
"737","Ronald","Tyler","42","Female"
"738","Jimmy","Truman","70","Female"
"739","James","Hayes","69","Female"
"740","Woodrow","Jefferson","51","Male"
"741","Thomas","Polk","46","Male"
"742","Harry","Washington","44","Female"
"743","Theodore","Quincy","74","Male"
"744","Jimmy","Clinton","29","Female"
"745","Millard","Polk","61","Male"
"746","Warren","Madison","33","Female"
"747","Dwight","Eisenhower","30","Female"
"748","Ronald","Fillmore","42","Male"
"749","Warren","Harding","57","Male"
"750","Dwight","Coolidge","18","Female"
